"","BT-549","CCRF-CEM","DU-145","HL-60(TB)","HS 578T","IGROV1","K-562","MCF7","MDA-MB-231/ATCC","MOLT-4","NCI/ADR-RES","OVCAR-3","OVCAR-4","OVCAR-5","OVCAR-8","PC-3","RPMI-8226","SK-OV-3","SR","T-47D"
"L-arabitol",-2.87832144341175,-2.87832144341175,-2.87832144341175,-2.87832144341175,-2.87832144341175,-2.87832144341175,-0.302819271939658,-2.87832144341175,-0.749846885462938,-1.66200353648498,-1.09336590631071,-2.87832144341175,-2.87832144341175,-1.21871023702159,-2.87832144341175,-2.87832144341175,-1.89075089295327,0.417920007811965,0.371094151691247,-2.11820488499498
"leucine",-0.904188075228695,-2.36835243197871,0.0519520796347216,-1.68501351453148,-0.831357964441161,-0.302819271939658,-0.33885849083724,-0.0528949484321255,-0.0877333719335502,-0.971430847803229,-0.87038726186953,0.342175438247348,-0.961095638868458,-0.441569082027969,-0.347398782403481,-1.90689059560852,-1.48062584090642,-0.10056653821849,0.260226434618921,0.170779678624233
"malic acid",-1.52976684647903,-0.123433941248279,-0.46527432620196,-0.0714717551330381,-2.12029423371771,0.217851096811131,2.4070807754505,1.56055192887502,0.263034405833794,-0.372704456518421,-1.42662547355406,0.581752944245266,-1.34251242704345,-1.00192487692449,0.00623817221121988,-1.1595031959558,-2.54793176977619,-0.367111403910025,2.60809954599438,2.74695764241365
"mannose",0.927264385792801,-3.55639334852439,-2.355989930961,-3.55639334852439,0.698662999885884,-3.55639334852439,-3.55639334852439,-0.115076524446693,-3.55639334852439,-3.55639334852439,-0.156820109742826,0.315373007919827,-3.55639334852439,-0.0897790228128215,-2.68965987938785,-2.26534456652099,-0.956422181458396,0.657487572956545,-3.55639334852439,-0.284545872884282
"N(5)-(aminocarbonyl)-L-ornithine",0.096711641071677,-2.11820488499498,-3.44222232860507,-0.952694285221643,-0.869508373605438,-0.0409717810563062,-0.800039799158295,-0.640853701613201,-1.33278908751913,-2.18224032387555,-0.308168095931897,0.900979482691263,-1.09953567355091,-0.29689930039584,0.00575926928868495,-1.42662547355406,-0.442222328605074,-0.432454552356253,-0.229382353343797,-0.69121199900059
"N-acetylneuraminic acid",-0.140825544133565,-4.50635266602479,3.56701805043777,-3.13289427049735,0.431177201934097,-0.430508908041284,-0.416962376203336,-3.66200353648498,0.742437445376266,-1.77760757866355,-0.00578235259400611,0.650151819655201,-0.0908029370083126,0.828360780177906,0.793271654498083,-0.0494071673218463,-3.52284078881336,1.01435529297707,-1.27811700040687,0.0840642647884746
"n-dodecanoate",0.473700338657404,-0.121340043869263,0.00910825613038187,-2.00385232549561,-0.361539950786219,-0.13764780046798,-0.0745068790593921,-0.0345543075038765,0.378881497641319,-0.473263428523736,0.23184197411172,0.0205318331313526,1.10768786931437,-0.805072461381109,0.0332761548742986,0.194927538618891,-0.364013496254377,0.0276259059775616,0.299440052262531,-0.242407755243836
"n-hexadecanoic acid",0.285698125958125,-1.34129341975429,-0.141355849245542,-0.980891177052295,-0.192645077942396,0.0421773702443946,-0.897901812381264,-0.182240323875552,-0.321327097152827,-0.833070362316847,0.110585967411944,0.237971547307215,0.784922701562861,0.115921055307112,0.258217389536018,0.147957881387101,-0.750655797758248,0.661749599810705,-0.599462070416271,0.519038609600059
"octopamine",-3.1456053222469,-3.1456053222469,-3.1456053222469,-3.1456053222469,-3.1456053222469,-2.04890960048095,-3.1456053222469,-3.1456053222469,-3.1456053222469,-3.1456053222469,-1.30757280191029,-3.1456053222469,-0.328555646926911,-3.1456053222469,-2.73056782296806,-3.1456053222469,-3.1456053222469,-3.1456053222469,-3.1456053222469,-1.27462238010901
"ornithine",-0.243545976242434,1.85904189786194,0.0219534411040491,0.758729568457863,-1.01061874680114,0.362142550846718,2.56323949838686,-1.41503749927884,-1.57346686188333,1.55434326566276,-0.0985055449524252,0.498080627980647,-1.70525673443887,-1.30281927193966,-0.597277823154395,-2.26303440583379,2.05785457449798,-0.495464349882054,2.94698033187548,1.22917771658466
"phosphate",0.218264535713771,-1.03998261746535,0.071305034073133,-0.746615764199925,0.108357178090419,-0.222071858055296,-0.317726358908746,-0.512513650651464,0.0134027046024885,-0.713118852211838,0.0799753767205959,0.0356239097307215,-0.0169303959498773,0.148825667904026,-0.149333906669066,0.0510240030244669,-0.627419299964051,0.0607391578576785,-0.217032359289273,0.0662614422687216
"Possible Artifact-2336 (RI Ladder)",0.12212049105055,-0.16596303528989,-0.00771496512800556,-0.0335695326937018,0.0224269993032424,-0.0218043703183484,-0.045927797750402,-0.0608988249439454,0.124328135002202,-0.154142004201385,0.0435778185416041,-0.00578235259400611,-0.127105590307387,0.0514881159578209,0.0243196791954129,0.0496307677246004,-0.0816137655536521,0.127413172159517,-0.116118557746519,0.0328061450832418
"X-2911",-2.08314123530025,-2.08314123530025,-2.08314123530025,-2.08314123530025,-1.41119543298445,-2.08314123530025,-1.23559722312694,-2.08314123530025,-2.08314123530025,-2.08314123530025,-2.08314123530025,-2.08314123530025,-2.08314123530025,-2.08314123530025,-0.575615328461904,-2.08314123530025,-2.08314123530025,-2.08314123530025,0.430463702888451,0.540688600940364
"X-3014",-2.43440282414578,-2.43440282414578,-2.43440282414578,-1.59219406995223,-2.43440282414578,-2.43440282414578,0.837270499961892,0.270628606989295,-0.693543313875077,0.0876891286072285,-2.43440282414578,-2.43440282414578,-2.43440282414578,-1.57346686188333,-2.43440282414578,-2.43440282414578,-0.964845335692472,-0.240702105735737,0.453122446595813,-1.67269587265471
"X-3016",-1.71311885221184,-1.71311885221184,-1.71311885221184,-1.71311885221184,-1.71311885221184,-1.00965017003372,-1.71311885221184,-1.71311885221184,-1.71311885221184,-0.567753210688933,-1.71311885221184,-1.71311885221184,-1.71311885221184,-1.71311885221184,-1.71311885221184,-1.71311885221184,-1.71311885221184,-1.71311885221184,-0.934197941604254,-1.71311885221184
"X-3022",-1.2688167584278,-1.2688167584278,-1.2688167584278,-1.2688167584278,-1.2688167584278,-1.2688167584278,-0.312939311660108,-1.2688167584278,-1.2688167584278,-1.2688167584278,-1.2688167584278,-1.2688167584278,-1.2688167584278,-1.2688167584278,-1.2688167584278,-1.2688167584278,-1.2688167584278,-1.2688167584278,-0.713118852211838,-1.2688167584278
"X-3034",-2.78587519464715,-2.78587519464715,-2.78587519464715,-2.78587519464715,-2.78587519464715,-2.78587519464715,-2.78587519464715,-0.171368418311981,-2.0350469470992,-2.78587519464715,-2.33642766458248,-2.78587519464715,-2.78587519464715,-2.78587519464715,-2.78587519464715,-2.78587519464715,0.193246075676931,-0.103146927103293,-0.637857449153281,-0.0350469470992008
"X-3074",-2.74984688546294,-3.92139016530363,-3.92139016530363,-3.92139016530363,-3.92139016530363,-3.92139016530363,-0.202018631152166,-3.92139016530363,-3.92139016530363,-2.38082178394093,-3.92139016530363,-3.92139016530363,-3.92139016530363,-1.7353634895697,-3.92139016530363,-3.92139016530363,-3.92139016530363,-3.92139016530363,1.80914001109052,-3.92139016530363
"X-3085 = Inositol 2",-1.05090089830004,-0.237863830098888,1.37369460695595,0.93985342763635,-1.59219406995223,-0.865121945656889,2.47005957534102,-0.277533975528909,1.43722773891291,1.08927214707254,-0.866874916760639,2.95444449463674,-1.88718868116597,1.11303366529989,2.80122764990261,0.466061502303311,2.60762622084549,1.35820869190622,2.50927356912461,-0.49343190760054
"X-3090",-3.68038206579984,-3.68038206579984,-0.375197234747053,-3.68038206579984,-3.68038206579984,-3.68038206579984,-3.68038206579984,-0.203679128217373,-3.68038206579984,-3.68038206579984,-3.68038206579984,-0.728175954433075,-3.68038206579984,-3.68038206579984,-1.49682090385214,-3.68038206579984,-2.91775158824029,-0.175164272892737,-3.68038206579984,-1.83307036231685
"X-3091",0.0931094043914815,-2.72737954533701,0.0776987547539378,-2.72737954533701,-0.131313234677865,-0.728972803412675,-1.399730246491,-0.844250767322055,0.173767067736707,-2.72737954533701,-0.044935231463649,-0.000962117435383687,-0.398461943076661,-0.622228410125353,-0.642354164609493,-0.115076524446693,-1.69899774396719,0.190720201017904,-0.978046558895951,0.54399071966485
"X-3094",0.376660827565788,-5.15842936260448,0.0243196791954129,-2.62890584830875,-1.00481701629778,-0.359687570851587,-0.235031127361041,-0.243545976242434,0.134878054343112,-2.52284078881336,-0.50635266602479,0.282933963271499,-0.796694417854319,0.363264543158011,-0.13764780046798,-0.757143476103836,-1.09029088907361,1.36904764345591,-0.46926334728957,0.556797246592743
"X-3996",-3.83650126771712,-3.83650126771712,0.304121597876993,-0.630393929968162,-3.83650126771712,-0.938799843563262,0.900721927564115,-3.83650126771712,0.217851096811131,2.22527492986957,-3.83650126771712,-3.83650126771712,-3.83650126771712,-2.02718482932623,-3.83650126771712,-3.83650126771712,-0.0528949484321255,-3.83650126771712,-0.0669310081189868,-3.83650126771712
"X-3998",0.321543324904847,-3.09541956507868,0.00144197417390632,-3.09541956507868,-0.494786550930949,-3.09541956507868,-1.37083769536831,-0.829647596676058,-3.09541956507868,-3.09541956507868,-3.09541956507868,0.919657891682396,-0.154142004201385,0.423667804422284,-0.318325858207167,-0.206450877467426,-3.09541956507868,1.08633087176042,-3.09541956507868,-0.352301743930881
