"","BT-549","CCRF-CEM","DU-145","HL-60(TB)","HS 578T","IGROV1","K-562","MCF7","MDA-MB-231/ATCC","MOLT-4","NCI/ADR-RES","OVCAR-3","OVCAR-4","OVCAR-5","OVCAR-8","PC-3","RPMI-8226","SK-OV-3","SR","T-47D"
"MTX1",9.02458566597979,8.51451685590424,9.52864947185108,8.60177082554272,8.44294353730548,9.57061474073403,8.89026430742564,8.54650869955586,8.64205172904049,8.7448338711288,9.11191813962983,9.8012233540563,9.23768801482291,8.83825851323384,8.10433671223825,9.1243798620131,8.46311566077349,9.3458487656775,8.90839265079862,9.27496049542866
"ABLIM1",6.74550640032349,6.52512940784838,7.97670736911941,6.83541896680604,3.40599372070825,8.52120785549168,5.1168641734531,6.35402911442296,6.95303249369351,5.59991313964999,5.8021934754893,8.18239440306701,9.00337738831407,8.93869749058162,6.87774437262715,7.21820004058493,7.41700867120627,8.73301535559184,4.72246657094638,5.98868491396822
"POMZP3",7.50700181207666,5.56071526013018,7.18189774246755,5.66959403462544,8.31424339207357,6.63952174421444,7.10328791333529,7.91229064323882,6.46760571309938,6.54843677883012,7.07681570391713,5.97728015249911,6.9200551739395,5.43629545302525,7.65892558287758,7.31379011612219,5.8021934754893,5.41953922859203,7.79830984726569,7.24412603844831
"KCNJ4",2.35050007589517,3.8875262455352,4.08746368989423,3.52356321057389,4.16992580293933,3.21723226750483,2.63227054242512,5.02680050188814,4.34340853298485,3.10433833736613,3.71149600794359,2.13750680259857,2.58496490521089,2.20163699745981,4.03562478942255,1.43296475058118,3.15380695708379,2.13750680259857,1.76553898957745,2.29278469350044
"MRPS27",9.24531503416362,9.26303442931516,8.58496253829134,9.07333828173278,8.36282056935853,8.71287090207253,8.81089294401635,8.85704794759984,8.84924873404574,8.9918052837146,9.13416961575214,8.86480522518734,7.35755209258729,8.24887639026301,8.95652139237287,8.50382577773942,9.2751933571865,8.82877122558568,8.41489664648209,8.76950732449525
"RRP1B",9.50362702585804,9.55822938085087,9.14771374778754,9.50838905473192,8.85237348079392,9.05066496545865,9.16440418302412,8.71904653816571,8.90689062566467,9.48723713058616,9.1885888704322,9.47978028423491,9.22255345157299,8.48663397529026,8.97183094351372,8.59021279884206,9.57648436569266,8.95215883987475,8.79733732071582,8.20994072901343
"FAM179B",6.8617074106353,6.76022107955645,7.64961553091077,6.45121127671175,6.83541896680604,6.09803229357293,5.35402929079152,7.08108403523822,6.16591213986813,6.25738803128023,7.87282882108331,7.09064185776487,5.29645777446917,7.55995068916751,7.40429014960983,6.31831702212382,6.1838836574772,7.51648805970271,4.30012445690134,7.53605297797162
"LDHB",11.5038754216895,11.8067107219924,11.5169803564191,12.0232345603119,11.2945633213645,11.8542840240728,11.6000522758288,4.80735543730574,11.091832046478,11.8400304273219,11.6849239112433,11.7868413681041,11.579033033178,4.35049795428741,11.5288447723085,10.7861879406943,12.0215005516447,10.7747870678357,11.4715228140593,6.15987153855391
"TGM2",4.27052968989091,5.66106576492452,5.70321174429996,5.58195405203773,5.8176235133084,5.17791819073033,4.30012445690134,5.61765141325521,5.31469688814243,5.12101581552885,5.1251555447019,3.37851301045983,5.56681545837691,5.1168641734531,5.37503977898424,5.16992540219088,5.54535095375054,4.57893931673135,3.32192953758168,5.86294749590665
"SLC28A2",5.56071526013018,5.23649300105898,5.17392733163827,5.13339953644137,6.11686396557201,4.83794374632976,5.32553069134184,5.2555011108172,5.36807022585287,5.29645777446917,4.24031509266422,4.78136023814094,5.56681545837691,5.0531117710062,5.08321379382268,5.86542422577367,5.18982495413888,5.08746326557235,5.58796528881925,6.15583037389803
